Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Lead Time,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,REACH Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Unit of Measure,Image,Product Notes
1,C315C682K5R5TA,KEMET,CAP CER 6800PF 50V X7R RADIAL,,"7,642",In Stock,,1,1,Bulk,399-4194-ND,0.34000,$0.34,1,,399-4194-ND,26,https://yageogroup.com/content/datasheet/asset/file/KEM_C1050_GOLDMAX_X7R,,	-,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8532.24.0060,Mexico,,399-4194-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2503/GOLDENMAX%20300%20C0G%2C%20NP0.jpg,
2,A103K15X7RF5TAA,Vishay Beyschlag/Draloric/BC Components,CAP CER 10000PF 50V X7R AXIAL,,"145,753",In Stock,,1,1,Cut Tape (CT),1103PHCT-ND,0.26000,$0.26,1,,1103PHCT-ND,18,https://www.vishay.com/docs/45164/aseries.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8532.24.0040,China,,1103PHCT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/591/A152K15X7RF5TAA.jpg,
3,FK20X7S1H106KR000,TDK,CAP CER 10UF 50V X7S RADIAL,,"143,250",In Stock,,2,2,Bulk,445-FK20X7S1H106K-ND,1.24000,$2.48,1,,445-FK20X7S1H106K-ND,40,https://product.tdk.com/en/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_conventional_fk_en.pdf,,May apply on shipments to the U.S.,,Not For New Designs,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8532.24.0060,China,https://product.tdk.com/en/environment/index.html,445-FK20X7S1H106K-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/631/FK54-SERIES.jpg,
4,C410C104Z5U5TA7200,KEMET,CAP CER 0.1UF 50V Z5U AXIAL,,"165,394",In Stock,,1,1,Cut Tape (CT),399-C410C104Z5U5TA7200CT-ND,0.26000,$0.26,1,,399-C410C104Z5U5TA7200CT-ND,30,https://yageogroup.com/content/datasheet/asset/file/KEM_C1042_AXIMAX_Z5U,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8532.24.0040,Mexico,,399-C410C104Z5U5TA7200CT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1278/MFG_C4x0Cxxxxxx5TAAUTO.jpg,
5,UHE1H221MPD,Nichicon,CAP ALUM 220UF 20% 50V RADIAL TH,,"64,731",In Stock,,1,1,Bulk,493-1609-ND,0.65000,$0.65,1,,493-1609-ND,21,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uhe.pdf,,	-,,Active,ROHS3 Compliant,REACH Affected,Not Applicable,EAR99,8532.22.0020,Malaysia,,493-1609-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2894/HE%20SERIES%20PURPLE%2016.0%2C10.0.jpg,
6,50NXA100MEFC10X16,Rubycon,CAP ALUM 100UF 20% 50V RADIAL TH,,"2,213",In Stock,,1,1,Bulk,1189-50NXA100MEFC10X16-ND,0.82000,$0.82,1,,1189-50NXA100MEFC10X16-ND,22,https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/NXA.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8532.22.0020,Japan,,1189-50NXA100MEFC10X16-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/913/NXA-Series.jpg,
7,ECE-A1HN471U,Panasonic Industry,CAP ALUM 470UF 20% 50V RADIAL TH,,32,In Stock,,1,1,Bulk,P1287-ND,2.72000,$2.72,1,,P1287-ND,31,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1053.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8532.22.0020,Malaysia,,P1287-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/001/120/017/ECE-A1HN471U_web%28640x640%29.jpg,
8,1N5338BRLG,onsemi,DIODE ZENER 5.1V 5W AXIAL,,"23,668",In Stock,,2,2,Cut Tape (CT),1N5338BRLGOSCT-ND,0.80000,$1.60,1,,1N5338BRLGOSCT-ND,19,https://www.onsemi.com/pub/Collateral/1N5333B-D.PDF,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8541.10.0050,China,https://www.onsemi.com/site/pdf/RoHS-statement.pdf|https://www.onsemi.com/PowerSolutions/MaterialComposition.do?export=pdf&opnId=1N5338BRLG,1N5338BRLGOSCT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5023/488%7E017AA-01%7E%7E2.jpg,
9,1N4007,Diotec Semiconductor,DIODE STANDARD 1000V 1A DO204AC,,"42,464",In Stock,,1,1,Cut Tape (CT),4878-1N4007CT-ND,0.14000,$0.14,1,,4878-1N4007CT-ND,6,https://diotec.com/request/datasheet/1n4001.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8541.10.0080,China,https://diotec.com/request/imds/p1_e.pdf,4878-1N4007CT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/243/002/MFG_4878%7EDO41-DO204AC%7E%7E2_web%28640x640%29.jpg,
10,EJ501A,MPD (Memory Protection Devices),CONN PWR JACK 2.1X5.5MM SOLDER,,"4,305",In Stock,,1,1,Bulk,EJ501A-ND,1.89000,$1.89,1,,EJ501A-ND,20,https://www.memoryprotectiondevices.com/datasheets/EJ501A/EJ501A-datasheet.pdf,,May apply on shipments to the U.S.,,Active,RoHS Compliant,REACH Unaffected,1  (Unlimited),EAR99,8536.69.4010,Taiwan,,EJ501A-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1123/MFG_EJ501A.jpg,
11,CSS-1021028N,Same Sky (Formerly CUI Devices),SPEAKER 8OHM 10W TOP PORT 107DB,,"5,132",In Stock,,1,1,Box,102-3849-ND,7.92000,$7.92,1,,102-3849-ND,18,https://www.cuidevices.com/product/resource/css-1021028n.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8518.29.8000,Taiwan,https://www.cuidevices.com/product/resource/material-compliance/css-1021028n,102-3849-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2196/MFG_CSS-1021028N.jpg,
12,J201 TO-92 3L ROHS,"Linear Integrated Systems, Inc.",JFET N-CH 40V 10MA TO92,,"2,629",In Stock,,2,2,Bulk,4004-J201TO-923LROHS-ND,4.99000,$9.98,1,,4004-J201TO-923LROHS-ND,8,https://www.linearsystems.com/_files/ugd/7e8069_eac72fcda83f42c7942bbf15c07a36c7.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8541.21.0095,United States,,4004-J201TO-923LROHS-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6240/3218%7ETO92%7E%7E3.jpg,"Non Cancellable Non Returnable. "
13,CF14JT1M00,Stackpole Electronics Inc,RES 1M OHM 5% 1/4W AXIAL,,"649,762",In Stock,,2,2,Cut Tape (CT),CF14JT1M00CT-ND,0.10000,$0.20,1,,CF14JT1M00CT-ND,18,https://www.seielect.com/catalog/SEI-CF_CFM.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.10.0065,China,https://www.seielect.com/catalog/SEI-RoHS_Compliance_Status.pdf|https://www.seielect.com/catalog/reach.pdf|https://www.seielect.com/catalog/sei-coc%20prop%2065.pdf,CF14JT1M00CT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2376/CF%201m.jpg,
14,CF12JT2K20,Stackpole Electronics Inc,RES 2.2K OHM 5% 1/2W AXIAL,,"53,500",In Stock,,2,2,Cut Tape (CT),CF12JT2K20CT-ND,0.10000,$0.20,1,,CF12JT2K20CT-ND,18,https://www.seielect.com/catalog/SEI-CF_CFM.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.10.0065,China,https://www.seielect.com/catalog/SEI-RoHS_Compliance_Status.pdf|https://www.seielect.com/catalog/reach.pdf|https://www.seielect.com/catalog/sei-coc%20prop%2065.pdf,CF12JT2K20CT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2440/CFSeries%202-2k.jpg,
15,CF12JT6K80,Stackpole Electronics Inc,RES 6.8K OHM 5% 1/2W AXIAL,,"48,288",In Stock,,3,3,Cut Tape (CT),CF12JT6K80CT-ND,0.10000,$0.30,1,,CF12JT6K80CT-ND,18,https://www.seielect.com/catalog/SEI-CF_CFM.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.10.0065,China,https://www.seielect.com/catalog/SEI-RoHS_Compliance_Status.pdf|https://www.seielect.com/catalog/reach.pdf|https://www.seielect.com/catalog/sei-coc%20prop%2065.pdf,CF12JT6K80CT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2440/CFSeries%206-8k.jpg,
16,CF12JT47K0,Stackpole Electronics Inc,RES 47K OHM 5% 1/2W AXIAL,,"242,403",In Stock,,1,1,Cut Tape (CT),CF12JT47K0CT-ND,0.10000,$0.10,1,,CF12JT47K0CT-ND,18,https://www.seielect.com/catalog/SEI-CF_CFM.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.10.0065,China,https://www.seielect.com/catalog/SEI-RoHS_Compliance_Status.pdf|https://www.seielect.com/catalog/reach.pdf|https://www.seielect.com/catalog/sei-coc%20prop%2065.pdf,CF12JT47K0CT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2376/CFSeries%2047k.jpg,
17,FW20A10R0JA,Bourns Inc.,RES 10 OHM 5% 2W AXIAL,,269,In Stock,,1,1,Cut Tape (CT),FW20A10R0JACT-ND,0.56000,$0.56,1,,FW20A10R0JACT-ND,19,https://www.bourns.com/docs/Product-Datasheets/FW.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.21.0080,China,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6657/Bourns%20REACH%20247%20Jan%202025%20Statement.pdf|https://www.bourns.com/docs/rohs-cofc/fw_coc.pdf?sfvrsn=257997f1_4,FW20A10R0JACT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2500/FWxxA%2010.jpg,
18,PTN16-D50215K1B1,Same Sky (Formerly CUI Devices),POT 50K OHM 1/8W CARBON LINEAR,,463,In Stock,,2,2,Tray,2223-PTN16-D50215K1B1-ND,1.20000,$2.40,1,,2223-PTN16-D50215K1B1-ND,15,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7159/all-you-need-to-know-about-potentiometers.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.40.8070,China,https://mm.digikey.com/Volume0/opasdata/d220001/medias/common/5783/ptn16-d50215k1b1.html,2223-PTN16-D50215K1B1-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/001/168/953/PTN16-D50215K1B1_web%28640x640%29.jpg,
19,PDB181-E420K-503A2,Bourns Inc.,POT 50K OHM 1/10W CARBON LOG,,657,In Stock,,1,1,Tray,118-PDB181-E420K-503A2-ND,1.77000,$1.77,1,,118-PDB181-E420K-503A2-ND,23,https://www.bourns.com/docs/Product-Datasheets/PDB18.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.40.8070,China,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6657/Bourns%20REACH%20247%20Jan%202025%20Statement.pdf|https://www.bourns.com/docs/rohs-cofc/pc1_coc.pdf?sfvrsn=cf7e2294_6,118-PDB181-E420K-503A2-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/234/789/PDB181-E420K-503A2_web%28640x640%29.jpg,
20,L7809CV,UMW,IC REG LINEAR 9V 1.2A TO220,,"1,155",In Stock,,1,1,Tube,4518-L7809CV-ND,0.42000,$0.42,1,,4518-L7809CV-ND,8,https://www.umw-ic.com/static/pdf/5a38e4cbf2cd3bf774fcded71c6288c1.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8542.39.0090,China,,4518-L7809CV-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/215/772/MFG_4518_TO-220_web%28640x640%29.jpg,
21,LM386N-4/NOPB,Texas Instruments,IC AMP CLASS AB MONO 1W 8DIP,,"8,259",In Stock,,1,1,Tube,296-43960-5-ND,1.18000,$1.18,1,,296-43960-5-ND,18,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Flm386,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8542.33.0001,Germany,,296-43960-5-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6222/296%7E4040082%7EP%7E8.jpg,
22,11,Switchcraft Inc.,CONN JACK MONO 6.35MM PNL MNT,,"7,339",In Stock,,1,1,Bulk,SC1085-ND,4.09000,$4.09,1,,SC1085-ND,10,https://www.switchcraft.com/assets/1/24/11_cd.pdf?5172,,	-,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8536.69.4020,United States,https://www.switchcraft.com/assets/1/6/RoHS_2015_863_EU_CoC_Switchcraft_General_Statement.pdf,SC1085-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/402/11.jpg,
23,K473K15X7RF53L2,Vishay Beyschlag/Draloric/BC Components,CAP CER 0.047UF 50V X7R RADIAL,,"149,758",In Stock,,3,3,Bulk,BC5153-ND,0.27000,$0.81,1,,BC5153-ND,18,https://www.vishay.com/docs/45171/kseries.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8532.24.0060,China,,BC5153-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/56_K102K15X7RF5TL2.jpg,
24,RNMF14FTC22K0,Stackpole Electronics Inc,RES 22K OHM 1% 1/4W AXIAL,,"79,646",In Stock,,1,1,Cut Tape (CT),S22KCACT-ND,0.10000,$0.10,1,,S22KCACT-ND,18,https://www.seielect.com/catalog/SEI-RNF_RNMF.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.21.0090,China,https://www.seielect.com/catalog/SEI-RoHS_Compliance_Status.pdf|https://www.seielect.com/catalog/reach.pdf|https://www.seielect.com/catalog/sei-coc%20prop%2065.pdf,S22KCACT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2586/RNMF14%2022k.jpg,
